#{"t_start": 1768809271.639683, "env_id": "DM-v1"}
r,l,t
38.203121,102,8.930065
1095.625017,196,26.540454
286.918119,41,30.256983
1600.546654,300,57.189384
272.82972,33,60.175507
22.259705,9,61.024189
146.258036,15,62.419029
721.246362,155,76.388374
1492.516245,300,103.465153
-24.527757,3,103.777594
491.233157,133,115.870468
312.242499,48,120.222812
113.894232,27,122.781048
1486.364074,300,150.202672
335.547353,64,155.84324
185.49756,39,159.315907
109.46592,32,162.176181
1397.6464,300,188.997511
1448.911916,300,216.057915
1453.146946,300,243.174313
1562.781346,300,270.318258
1606.268736,300,297.4696
460.39104,99,306.428673
1536.427334,300,333.468617
1477.713117,300,360.226681
1517.097269,300,387.155643
-18.766399,8,387.906261
1517.618487,300,414.600456
1027.940332,207,433.346015
1607.204156,300,460.41292
1577.730583,300,487.642228
1454.761055,300,514.768528
290.263458,38,518.294112
1450.6983,300,545.839508
1379.627813,300,572.903899
651.813314,127,584.237019
578.598622,133,596.193537
-17.507914,5,596.682364
247.659245,34,599.955904
1509.206226,300,627.481159
1556.079805,300,654.629762
1527.036083,300,681.413557
1567.886787,300,708.174871
1589.136196,300,735.174585
1575.802728,300,762.156008
1534.862212,300,789.117579
381.756276,53,793.940844
1589.69619,300,820.970096
1564.7367,300,847.934237
133.75047,34,851.05188
408.727696,80,858.69207
1524.39984,300,886.252898
175.464187,16,887.765401
1632.517791,300,914.771486
351.074908,86,922.570735
1492.649131,300,949.784853
190.775447,17,951.378813
1555.69381,300,978.409939
63.895736,20,980.25374
1019.766518,211,999.252778
1209.493622,220,1019.142205
1479.182178,300,1046.203224
497.471814,96,1054.945177
1497.124313,300,1082.141956
1589.371343,281,1107.611173
1493.073756,300,1134.319279
503.174955,300,1161.310545
1400.117217,300,1188.717953
1532.856572,300,1215.900589
216.671478,23,1218.018799
1499.048782,300,1244.900457
1411.152067,300,1271.80508
1391.61419,282,1297.211975
171.176193,18,1298.839144
-48.846424,300,1325.59414
-21.294714,29,1328.223348
358.224123,80,1335.510741
1483.678333,300,1362.354501
92.943118,26,1364.707763
605.600964,131,1376.409703
78.909305,24,1378.57727
683.38842,141,1391.10959
473.201025,99,1400.077043
1467.445487,300,1426.967916
892.641156,142,1439.802374
1534.596263,300,1466.824626
1351.94417,270,1491.108426
1572.786978,300,1518.002389
1537.940212,300,1545.008308
449.065839,75,1551.869084
1451.872694,300,1579.013489
1494.647174,300,1605.779744
1432.940421,300,1633.110055
1445.154552,300,1659.9507
1455.688727,300,1686.355376
707.18236,115,1696.723223
1543.365542,300,1723.933151
816.738011,132,1735.982064
1493.446474,300,1763.102698
1577.874808,300,1790.021344
1489.54782,300,1816.064463
1466.585937,300,1842.023895
91.273208,5,1842.509245
1603.556595,300,1868.328092
227.658809,64,1873.882562
1602.929558,300,1899.561813
189.220039,22,1901.498138
665.630831,116,1911.546494
1631.029365,300,1937.33917
1529.813893,300,1963.08898
1386.138486,276,1986.981779
1551.001773,300,2013.339783
545.748196,90,2021.306415
1537.027578,300,2047.655517
1496.941835,300,2073.480556
1505.431853,300,2099.625036
1470.279934,300,2125.507769
1627.65985,300,2151.349944
1507.300557,300,2177.007716
954.026718,162,2190.995426
1538.341086,300,2217.397575
1503.950726,300,2243.611752
127.152962,10,2244.536464
1452.307133,300,2270.911792
1475.637668,300,2297.368825
233.133112,27,2299.798398
1499.649688,300,2326.214369
1498.012779,300,2351.893508
1496.221827,300,2377.745015
1538.636127,300,2403.562344
99.485305,6,2404.132976
1514.635313,300,2430.006116
1643.17468,289,2455.189991
1506.309592,300,2481.346685
187.766588,57,2486.361652
1499.443636,300,2512.879732
1590.569959,300,2538.976873
1546.81254,300,2565.281879
1538.021175,300,2591.661728
358.975603,55,2596.515062
176.657,21,2598.378606
936.002629,160,2612.715298
1618.632945,300,2639.82071
1590.36704,300,2666.904413
1518.615269,300,2694.165868
1150.352813,246,2716.551163
1501.24237,300,2743.267028
1604.110788,292,2769.402265
955.559405,169,2784.890209
1526.932474,300,2812.260654
1484.152533,300,2839.410684
1278.15086,277,2864.142567
1500.10335,300,2891.327605
1463.659343,300,2918.745681
1562.371684,300,2945.789789
1572.755545,300,2973.063858
1557.650128,300,3000.641443
298.03297,31,3003.49675
-18.393916,5,3003.989792
873.717076,150,3018.054905
1565.834334,300,3046.770006
1575.642164,300,3075.795997
1428.101441,300,3104.185436
1486.392765,300,3132.047142
